LabID,Site number,Site type,Transect,SurSo4 (lbs/A),SurSo4 (kg/ha),Ca (ppm),Mg (ppm),OM (%),TN (%),NH4 (lbs/A),NH4 (kg/ha),Surno3 (lbs/A),Surno3 (kg/ha)
686522,22,C,A,7.445,8.35870454545455,3476,777,1.61,0.1,3.894,4.3719,4,4.49090909090909
686523,22,C,B,7.221,8.10721363636364,3283,734,1.5,0.09,3.456,3.88014545454545,3,3.36818181818182
686524,22,C,C,7.2,8.08363636363636,3193,768,1.78,0.1,3.996,4.48641818181818,4,4.49090909090909
686525,23,C,A,6.822,7.65924545454545,6283,927,2.15,0.11,4.322,4.85242727272727,5,5.61363636363636
686526,23,C,B,7.52,8.44290909090909,4908,952,2.11,0.11,4.726,5.30600909090909,5,5.61363636363636
686527,23,C,C,6.123,6.87445909090909,5164,921,1.89,0.1,3.811,4.27871363636364,4,4.49090909090909
686528,24,C,A,7.703,8.64836818181818,3786,1160,1.21,0.08,3.225,3.62079545454545,5,5.61363636363636
686530,24,C,B,7.365,8.26888636363636,3736,1041,1.27,0.07,3.497,3.92617727272727,7,7.85909090909091
686531,24,C,C,7.944,8.91894545454545,3818,1074,1.37,0.08,3.19,3.5815,7,7.85909090909091
686532,25,D,A,8.251,9.26362272727273,3976,542,2.6,0.13,4.116,4.62114545454545,7,7.85909090909091
686533,25,D,B,8.218,9.22657272727273,4260,526,2.74,0.13,3.863,4.33709545454546,6,6.73636363636364
686534,25,D,C,7.478,8.39575454545455,3876,507,2.98,0.14,4.082,4.58297272727273,6,6.73636363636364
686535,26,D,A,7.452,8.36656363636364,3644,875,1.65,0.08,4.277,4.80190454545455,5,5.61363636363636
686536,26,D,B,10.557,11.8526318181818,3787,864,1.74,0.09,10.16,11.4069090909091,11,12.35
686537,26,D,C,8.77,9.84631818181818,3451,780,1.75,0.1,4.906,5.5081,8,8.98181818181818
686538,27,D,A,8.582,9.63524545454546,2940,780,1.46,0.08,5.457,6.12672272727273,4,4.49090909090909
686540,27,D,B,7.614,8.54844545454546,3200,849,1.4,0.08,7.892,8.86056363636364,4,4.49090909090909
686541,27,D,C,7.714,8.66071818181818,3247,849,1.49,0.09,4.502,5.05451818181818,3,3.36818181818182
686542,28,D,A,8.307,9.32649545454546,3608,858,1.26,0.07,5.294,5.94371818181818,9,10.1045454545455
686543,28,D,B,7.458,8.3733,3843,931,1.35,0.09,6.313,7.08777727272727,6,6.73636363636364
686544,28,D,C,5.961,6.69257727272727,3499,889,1.15,0.07,4.616,5.18250909090909,6,6.73636363636364
