exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (multiple pathways),aif aig,-0.07924064551329292,-0.4909884259108622,0.2891752733696341,
aet,Indirect (single pathway),aig,-0.26838930583101633,-0.8261426483094981,0.059891707890624694,
aet,Total,aif aig,-0.1439634285898746,-0.6111422619410918,0.2358196390695292,
aet,Total,aig,0.1250543312309304,-0.39225551514857626,0.6556969292157118,
p2,Indirect (single pathway),aig,-1.0180991780690722,-1.9578909882836315,0.047114422011269086,
p2,Total,aig,-0.4988037425738357,-1.0047906858263833,0.04808698953303975,
tmn,Indirect (single pathway),aig,0.4822730267138604,-0.014805391121368059,0.9950083571425131,
tmn,Total,aig,0.5385226960990617,0.08541564099238107,1.0113978585719465,*
