exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (multiple pathways),aif aig,-0.098233798461491,-0.5166044746466056,0.3177044620561662,
aet,Indirect (single pathway),aig,-0.31201958853081185,-0.831379332758759,0.0769400159887771,
aet,Total,aif aig,-0.17116975210334182,-0.6499320633767656,0.23944289296191265,
aet,Total,aig,0.08075867454814056,-0.47497528362925956,0.6176783700809028,
p2,Indirect (single pathway),aig,-1.173564489168378,-2.0146508614302254,-0.24834479588662203,*
p2,Total,aig,-0.7025890553276009,-1.169243516097446,-0.22129236299387856,*
tmn,Indirect (single pathway),aig,0.5541348528616546,0.08330654436615996,1.039063383447796,*
