Variable,Jan,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec ,Annual
Average Max. Temperature (F) ,40.7,46.6,53.9,62,71.1,80.9,91.5,89.5,79.6,66.8,52.2,42.5,64.8
Average Min. Temperature (F) ,17.4,22.7,26.2,31.4,38.7,46.3,52.7,49.4,40.1,30.6,23,18.2,33.1
Average Total Precipitation (in.) ,0.96,0.82,0.84,0.81,0.89,0.72,0.23,0.24,0.4,0.65,0.8,0.93,8.29
Average Total SnowFall (in.) ,3.7,2.8,2.8,1.4,0.3,0,0,0,0,0.4,1.6,3.5,16.5
Average Snow Depth (in.) ,1,0,0,0,0,0,0,0,0,0,0,0,0
