Site_number,Transect,Site type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock
8,A,I,0.67,40.68,60.71641791,0.92,39.81,43.27173913,0.4,44.65,111.625,1.24,34.15,27.54032258,4.7927546,4735.36,680.96,1.98,0.13,15.23076923,55.22727273,32.95454545,7.681818182,0.227272727,1.090909091,0.5,7.863636364,0.659090909,19.75,1.590909091
8,B,I,0.58,42.96,74.06896552,0.62,43.41,70.01612903,1.08,24.56,22.74074074,1.21,25.88,21.38842975,5.7992779,5242.72,629.44,2.17,0.13,16.69230769,28.63636364,57.90909091,6.863636364,0.136363636,1.409090909,1.159090909,10.68181818,0.386363636,19.22727273,0.727272727
8,C,I,0.59,41.48,70.30508475,0.89,41.18,46.26966292,0.44,44.17,100.3863636,NA,NA,NA,4.8174133,5725.44,639.52,2.18,0.14,15.57142857,40.54545455,46.09090909,8.590909091,0.545454546,0.727272727,1.681818182,7.340909091,0.522727273,18.18181818,1.477272727
10,A,M,0.79,41.55,52.59493671,0.79,39.67,50.21518987,0.52,44.16,84.92307692,1.05,30.57,29.11428571,3.6965633,2784.32,872.48,1.03,0.08,12.875,48.13636364,42.27272727,4.931818182,2.363636364,0.113636364,0.022727273,7.295454545,0.227272727,13.54545455,1.090909091
10,B,M,0.54,42.74,79.14814815,0.73,42.66,58.43835616,0.77,43.58,56.5974026,1.07,29.78,27.8317757,3.36255,2744,770.56,1.1,0.08,13.75,47.5,45.68181818,2.159090909,2.977272727,0.295454546,0.181818182,4.386363636,0.204545455,12.11363636,1.159090909
10,C,M,0.62,42.88,69.16129032,0.77,37.17,48.27272727,0.53,43.05,81.22641509,0.95,30.14,31.72631579,3.36255,2786.56,819.84,1.19,0.08,14.875,73.13636364,19.77272727,1.636363636,2.5,0.386363636,0.045454545,5.522727273,0.318181818,3.909090909,2.068181818
11,A,M,0.54,42.15,78.05555556,0.79,35.49,44.92405063,0.53,43.28,81.66037736,1.27,26.16,20.5984252,4.6089352,3170.72,978.88,1.13,0.09,12.55555556,60.33333333,35.19047619,0.523809524,0.568181818,2.75,0,2.681818182,0.113636364,9.045454545,1.142857143
11,B,M,0.73,42.04,57.5890411,0.8,28,35,0.64,43.42,67.84375,1.22,31.92,26.16393443,5.7365103,2739.52,792.96,1.09,0.08,13.625,67.95454545,25.09090909,0.931818182,0.386363636,2.272727273,0,2.295454545,0.159090909,9.068181818,3.863636364
11,C,M,0.72,41.55,57.70833333,0.77,37.93,49.25974026,0.69,43.06,62.4057971,1.05,32.66,31.1047619,4.91492725,3319.68,770.56,1.23,0.08,15.375,37.86363636,51.95454545,1.75,0.386363636,2.113636364,0,4.136363636,0.204545455,22.20454545,4.75
12,A,M,0.42,43.67,103.9761905,0.83,41.6,50.12048193,0.48,43.91,91.47916667,1.05,32.32,30.78095238,3.3289245,3664.64,898.24,1.47,0.09,16.33333333,29.66666667,63.61904762,0.071428571,11.06818182,0.5,0.090909091,6.25,0,6.954545455,2.833333333
12,B,M,0.56,42.62,76.10714286,0.96,40.58,42.27083333,0.35,44.54,127.2571429,1.31,32.85,25.07633588,5.649084,5585.44,829.92,1.67,0.1,16.7,22.72727273,69.95454545,0.227272727,17.5,1,0.090909091,4.727272727,0,10.90909091,3
12,C,M,0.65,42.6,65.53846154,0.54,43.13,79.87037037,0.32,44.47,138.96875,1.32,31.42,23.8030303,5.2859286,5333.44,857.92,1.73,0.1,17.3,39.22727273,51.27272727,0,11.81818182,1.204545455,0.022727273,4.568181818,0.136363636,13.31818182,5.159090909
13,A,M,0.58,41.47,71.5,0.42,42.38,100.9047619,0.46,43.71,95.02173913,1.55,31.41,20.26451613,3.4096257,3204.32,682.08,1.42,0.08,17.75,24.22727273,68.63636364,0.318181818,7.659090909,0.840909091,0,1.954545455,0,12,2.954545455
13,B,M,0.6,41.9,69.83333333,0.51,40.52,79.45098039,0.59,43.3,73.38983051,1.07,34.63,32.36448598,3.56318215,2965.76,646.24,1.32,0.08,16.5,25.13636364,61.04545455,0.386363636,7.113636364,1.863636364,0,3.022727273,0,7.545454545,9.727272727
13,C,M,0.61,42.3,69.3442623,0.86,44.57,51.8255814,0.69,43.37,62.85507246,1.34,33.71,25.15671642,3.18433485,3354.4,738.08,1.63,0.09,18.11111111,30.86363636,52,2.045454545,6.886363636,1.25,0.068181818,4.409090909,0,11.11363636,10.02272727
14,A,M,0.8,43.89,54.8625,1.74,43.2,24.82758621,NA,NA,NA,1.22,27.88,22.85245902,7.1599898,4401.6,929.6,1,0.07,14.28571429,39.14285714,51.71428571,4.095238095,8.681818182,0.068181818,0,1.090909091,0.136363636,4.386363636,2.547619048
14,B,M,0.66,43.83,66.40909091,NA,NA,NA,NA,NA,NA,1.26,31.57,25.05555556,4.59436415,8755.04,790.72,1.29,0.07,18.42857143,30.95454545,52.68181818,7.136363636,8.318181818,0,0,9.227272727,0.022727273,9.818181818,5.840909091
14,C,M,0.73,43.82,60.02739726,NA,NA,NA,NA,NA,NA,1.04,38.03,36.56730769,5.37447575,12625.76,692.16,1.47,0.07,21,43.31818182,32.90909091,20.95454545,7.181818182,0,0,5.409090909,0.022727273,6.454545455,0.818181818
16,A,C,0.33,43.23,131,1.31,43.13,32.92366412,0.64,42.46,66.34375,1.17,36.52,31.21367521,3.09242515,3433.92,823.2,1.17,0.08,14.625,5.704545455,92.81818182,0,7.818181818,10.77272727,0,0.863636364,0,0,0.022727273
16,B,C,0.38,43.56,114.6315789,1.65,44.29,26.84242424,0.44,44.19,100.4318182,1.07,37.56,35.10280374,29.3102275,3184.16,818.72,1.13,0.08,14.125,5.545454545,91.13636364,0,10.68181818,10.22727273,0.022727273,2.136363636,0,0,0.113636364
16,C,C,0.46,42.83,93.10869565,1.57,44.24,28.17834395,0.5,43.81,87.62,1.18,33.93,28.75423729,3.39729635,2984.8,752.64,1.24,0.09,13.77777778,7.318181818,90.18181818,0,9.181818182,10.72727273,0,1.454545455,0,0,0.045454545
18,A,C,0.46,42.57,92.54347826,1.01,45.52,45.06930693,NA,NA,NA,1.18,36.27,30.73728814,1.12085,2935.52,863.52,1.19,0.09,13.22222222,0.727272727,94.5,0.022727273,14.18181818,20.13636364,0,0,0,0,0.090909091
18,B,C,0.51,40.11,78.64705882,1.06,45.32,42.75471698,NA,NA,NA,1.11,32.28,29.08108108,3.59680765,3138.24,872.48,1.15,0.09,12.77777778,2.428571429,93.47619048,0,15.45454545,7.954545455,0,0,0,0,0.190476191
18,C,C,0.51,41.67,81.70588235,1.12,44.69,39.90178571,NA,NA,NA,0.67,43,64.17910448,2.52079165,3036.32,900.48,1.1,0.08,13.75,2.568181818,93.72727273,0,11.72727273,13.75,0,0,0,0,0.136363636
22,A,C,0.92,42.72,46.43478261,1.32,45.01,34.09848485,0.76,42.21,55.53947368,0.7,41.01,58.58571429,4.4834,3427.2,824.32,1.38,0.09,15.33333333,20.27272727,76.5,0.068181818,11.90909091,5.681818182,0,0,0,0,0.068181818
22,B,C,1,42.78,42.78,1.91,45.53,23.83769634,1.04,43.38,41.71153846,1.14,35.99,31.57017544,3.36255,3623.2,848.96,1.51,0.1,15.1,15.36363636,79.59090909,0.409090909,10.59090909,4.840909091,0,0.136363636,0,0,0.022727273
22,C,C,0.98,42.2,43.06122449,2.17,44.57,20.53917051,1.02,43.49,42.6372549,0.84,38.34,45.64285714,4.0709272,3506.72,810.88,1.39,0.09,15.44444444,18.95454545,78.18181818,0,9.636363636,4.204545455,0,0.022727273,0,0,0.068181818
23,A,C,0.49,43.45,88.67346939,1.19,45.7,38.40336134,0.4,44.52,111.3,0.67,41.71,62.25373134,2.66201875,6624.8,949.76,2.06,0.11,18.72727273,2.25,92.63636364,0,8.181818182,0.159090909,0,1.022727273,0,0,1.068181818
23,B,C,0.47,43.04,91.57446809,0.62,42.31,68.24193548,0.68,43.32,63.70588235,0.88,38.84,44.13636364,2.20022855,6261.92,959.84,1.71,0.1,17.1,2.785714286,91.33333333,0,11.95454545,0.181818182,0,1.477272727,0,0,1.142857143
23,C,C,0.44,43.53,98.93181818,0.92,38.64,42,0.44,44.27,100.6136364,1.14,27.74,24.33333333,2.2461834,6456.8,939.68,1.59,0.1,15.9,4.613636364,90,0,11,0.090909091,0.045454545,0.681818182,0,0,0.840909091
24,A,C,0.98,42.71,43.58163265,2.36,46.37,19.64830508,NA,NA,NA,0.92,24.38,26.5,4.41951155,5265.12,879.2,1.03,0.07,14.71428571,55.09090909,37.81818182,0,6.272727273,1.977272727,0.090909091,0,0.022727273,0,5.772727273
24,B,C,0.9,42.98,47.75555556,2.38,46.16,19.39495798,NA,NA,NA,0.97,21.28,21.93814433,3.6113787,4651.36,862.4,0.88,0.06,14.66666667,48.42857143,48.9047619,0,9.045454545,3.659090909,0,0,0,0,0.204545455
24,C,C,1.07,42.86,40.05607477,2.43,45.71,18.81069959,NA,NA,NA,0.83,18.07,21.77108434,3.56990725,4546.08,906.08,0.81,0.06,13.5,40.81818182,56.04545455,0,8.954545455,2.818181818,0,0,0,0,0.727272727
25,A,D,0.58,43.58,75.13793103,1.96,46.81,23.88265306,0.51,43.65,85.58823529,1.06,31.41,29.63207547,4.53832165,3103.52,803.04,1.05,0.08,13.125,39.13636364,56.72727273,0.295454546,7.727272727,13.63636364,0,7.136363636,0.022727273,3.181818182,0.5
25,B,D,0.67,42.93,64.07462687,1.48,45.87,30.99324324,0.43,45.12,104.9302326,0.8,38.41,48.0125,2.5196708,2955.68,786.24,1.16,0.08,14.5,34.27272727,61.31818182,0.045454545,8.045454545,12.63636364,0,5.159090909,0.045454545,0,0.568181818
25,C,D,0.47,44.02,93.65957447,1.36,45.43,33.40441176,0.46,44.11,95.89130435,0.99,38.58,38.96969697,2.47819935,2862.72,772.8,1.11,0.08,13.875,38.40909091,56.45454545,0,11.93181818,6.954545455,0.136363636,5.727272727,0.045454545,4.568181818,0.363636364
26,A,D,0.53,44.12,83.24528302,1.64,43.16,26.31707317,0.7,43.17,61.67142857,0.99,39.25,39.64646465,15.23347235,4876.48,803.04,1.4,0.09,15.55555556,21.45454545,76.68181818,0,5.340909091,15.29545455,0,0.045454545,0,0,1.022727273
26,B,D,0.69,43.44,62.95652174,1.67,44.52,26.65868263,0.67,42.38,63.25373134,1.04,37.74,36.28846154,10.6570418,4813.76,819.84,1.49,0.1,14.9,31.02272727,65.27272727,0,6.477272727,19.79545455,0,0,0,0,2.386363636
26,C,D,0.66,43.15,65.37878788,1.55,45.34,29.2516129,NA,NA,NA,0.95,41.2,43.36842105,5.13013045,3858.4,875.84,1.2,0.08,15,20.90909091,76.59090909,0,6.340909091,17.72727273,0,0,0,0,1.704545455
27,A,D,0.7,40.08,57.25714286,0.75,41.92,55.89333333,0.77,41,53.24675325,0.74,31.42,42.45945946,3.56094045,3596.32,779.52,1.23,0.08,15.375,14.31818182,75.86363636,0.045454545,4.136363636,30.56818182,0,1.5,0,0,7.545454545
27,B,D,0.54,43.01,79.64814815,0.89,42.29,47.51685393,0.43,42.76,99.44186047,0.84,35.18,41.88095238,4.0911025,3696,749.28,1.24,0.08,15.5,14.36363636,79.68181818,0.022727273,7.840909091,12.75,0,1.181818182,0,0,2.863636364
27,C,D,0.67,42.75,63.80597015,0.78,41.66,53.41025641,0.66,42.27,64.04545455,0.92,34.71,37.72826087,3.0688873,3647.84,817.6,1.18,0.08,14.75,22.59090909,73.31818182,0.022727273,4.272727273,18.22727273,0,0.840909091,0,0,2.75
28,A,D,1.27,41.3,32.51968504,2.23,41.26,18.50224215,NA,NA,NA,1.63,37.13,22.7791411,7.58479195,2769.76,415.52,1.02,0.07,14.57142857,18.97727273,77.5,0,6.727272727,1.363636364,0,0,0,0,0.022727273
28,B,D,1.12,43.26,38.625,2.24,41.76,18.64285714,NA,NA,NA,1.6,38.2,23.875,7.91208015,2449.44,443.52,0.98,0.07,14,31.52272727,66.40909091,0,6.090909091,1.840909091,0,0,0,0,0.090909091
28,C,D,0.86,44.17,51.36046512,1.77,42.98,24.28248588,NA,NA,NA,1.72,36.16,21.02325581,9.29520905,2488.64,493.92,0.97,0.07,13.85714286,23.5,74.36363636,0,6.931818182,2,0,0,0,0,0.022727273
