Site_number,Transect,Site type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock
1,A,I,0.77,42.81,55.5974026,1.07,41.93,39.18691589,0.49,44.09,89.97959184,1.43,27.27,19.06993007,4.5865182,3167.36,801.92,1.24,0.09,13.77777778,39.90909091,55.45454545,1.5,7.431818182,0,0,4.204545455,0.090909091,12.36363636,0.863636364
1,B,I,0.52,43.49,83.63461538,0.81,42.56,52.54320988,0.56,44.09,78.73214286,1.3,31.32,24.09230769,3.631554,3432.8,820.96,1.44,0.1,14.4,34.86363636,57.04545455,4,7.840909091,0.022727273,0,4.954545455,0.045454545,10.81818182,1.227272727
1,C,I,0.64,43.27,67.609375,0.7,41.38,59.11428571,0.49,43.63,89.04081633,0.7,41.19,58.84285714,6.2498596,3433.92,782.88,1.37,0.09,15.22222222,32.13636364,62.77272727,1.295454545,10.77272727,0.022727273,0.045454545,4.272727273,0,15.72727273,1.045454545
2,A,I,0.86,42.08,48.93023256,NA,NA,NA,0.55,44.24,80.43636364,1.39,28.39,20.42446043,3.89943715,3220,819.84,1.67,0.11,15.18181818,71.13636364,25.77272727,0.318181818,1.090909091,0.022727273,0,3.977272727,0.022727273,9.795454545,1.181818182
2,B,I,0.59,42.11,71.37288136,NA,NA,NA,0.49,43.89,89.57142857,1.15,25.22,21.93043478,2.13970265,2976.96,796.32,1.35,0.1,13.5,62.68181818,34.68181818,0.204545455,2.204545455,0,0,4.636363636,0.022727273,8,0.909090909
2,C,I,0.62,42.93,69.24193548,0.62,40.9,65.96774194,0.49,43.85,89.48979592,1.1,27.72,25.2,2.33024715,3293.92,908.32,1.45,0.1,14.5,65.61904762,30.42857143,0.477272727,1.295454545,0.022727273,0,5.590909091,0.022727273,5.090909091,1
3,A,I,0.82,43.21,52.69512195,1.18,40.13,34.00847458,0.55,44.7,81.27272727,1.34,36.24,27.04477612,2.622789,3716.16,869.12,1.66,0.11,15.09090909,67.22727273,24,1.454545455,0.840909091,0.227272727,0,6.25,0.136363636,2.454545455,1.5
3,B,I,0.71,42.99,60.54929577,NA,NA,NA,0.48,44.87,93.47916667,0.91,33.29,36.58241758,3.16640125,3837.12,864.64,1.56,0.11,14.18181818,60.40909091,33.95454545,1.454545455,0.477272727,0.090909091,0.022727273,5.840909091,0.022727273,7.386363636,1.659090909
3,C,I,0.79,43.62,55.21518987,0.96,41.76,43.5,0.44,44.39,100.8863636,0.97,26.73,27.55670103,3.94427115,3984.96,871.36,1.92,0.12,16,74.95454545,19.77272727,0.840909091,0.613636364,0.068181818,0,7.25,0.045454545,6.727272727,1.431818182
6,A,I,0.56,43.3,77.32142857,0.78,41.61,53.34615385,0.59,45.12,76.47457627,1.06,27.43,25.87735849,3.78286875,6116.32,799.68,1.82,0.12,15.16666667,40.59090909,47.18181818,6.409090909,0.5,1.727272727,0,7.045454545,0.068181818,21.72727273,1.636363636
6,B,I,0.53,43.03,81.18867925,0.84,42.04,50.04761905,0.54,44.97,83.27777778,1.08,27.37,25.34259259,3.1271715,7199.36,796.32,2.16,0.13,16.61538462,37.45454545,43.63636364,12.63636364,0.318181818,1.863636364,0.159090909,6.727272727,0,21.40909091,2.227272727
6,C,I,0.68,40.25,59.19117647,0.8,40.86,51.075,0.44,44.99,102.25,1.12,28.2,25.17857143,3.37263765,5930.4,763.84,1.94,0.13,14.92307692,51.65909091,29.40909091,12.20454545,0.181818182,1.954545455,0.090909091,7,0.090909091,16.63636364,3.113636364
7,A,I,0.48,41.28,86,0.68,40.82,60.02941176,0.46,44.15,95.97826087,1.05,29.43,28.02857143,3.56990725,3245.76,767.2,1.49,0.1,14.9,50.54545455,41.13636364,2.886363636,0.159090909,0.136363636,0.590909091,7.795454545,0,21.38636364,2.045454545
7,B,I,0.88,42.18,47.93181818,0.62,41.27,66.56451613,0.56,44.41,79.30357143,0.87,24.2,27.81609195,3.28969475,3707.2,771.68,1.32,0.1,13.2,58.18181818,33.54545455,2.568181818,0,0.045454545,0.681818182,7.113636364,0,12.75,3.386363636
7,C,I,0.65,43.14,66.36923077,0.96,40.24,41.91666667,0.37,44.72,120.8648649,NA,NA,NA,2.533121,3345.44,745.92,1.48,0.1,14.8,57.77272727,35.27272727,0.863636364,0.045454545,0.045454545,0.181818182,7.681818182,0,18.65909091,3
