exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (single pathway),png,0.19304610099822592,-0.0022025619817363042,0.4383630869755789,
aet,Total,png,-0.05964826441802777,-0.46504738793640776,0.29543264970733607,
p2,Indirect (single pathway),lcn,-0.29605115407853055,-0.5939981756326596,-0.05844026520075044,*
p2,Indirect (single pathway),png,0.25562760712821375,-0.03680666352363641,0.5621381921542158,
p2,Total,lcn,-0.7424048421135012,-1.0274466059694882,-0.4623895566682655,*
p2,Total,png,-0.16940894784629135,-0.4946443302747582,0.163543310977615,
