"","Site_number","Year","mx_aet","mx_def","mx_tmin","mn_aet","mn_def","mn_tmin","mean_aet","mean_def","mean_tmin"
"1","1",2013,-0.273812096280758,0.938147198647475,-0.319067672193639,-1.13610306039088,-0.551578983475897,-3.16566581567855,-0.661249288108831,0.185916839792295,-1.053075587307
"2","10",2013,0.145077660931985,0.613360397024455,-0.193642964352772,-0.664874816825635,-0.716127558612321,-3.65100529258812,-0.413188925348139,0.0497193263905551,-1.0345345270841
"3","11",2013,-0.236920424597174,0.861066655700988,0.204444574388818,-1.21597456607643,-0.444552036326612,-2.98570849615206,-0.733880456127805,0.26893086148218,-0.657169435592802
"4","12",2013,0.30560979501665,0.879248981247969,-0.411773021048238,-1.05694874408557,-1.06263428057531,-3.70553803428947,-0.434921885343395,0.0731841243953718,-1.15559683486847
"5","13",2013,-0.307660536993581,1.50593897552148,-0.384506780213263,-2.3502399189249,-0.510369139039782,-3.49831408388088,-1.09617818256696,0.491561266918419,-1.11088008288498
"6","14",2013,-0.233405376017449,0.88006823411278,-0.417226139199542,-1.56046248632805,-0.492589223582816,-4.10362554052711,-0.720344406666935,0.238224481534051,-1.25593661089233
"7","16",2013,-0.273812096280758,0.938147198647475,-0.0191387954814855,-1.13610306039088,-0.551578983475897,-2.79484494032294,-0.661249288108831,0.185916839792295,-0.825129664408589
"8","18",2013,-0.307660536993581,1.50593897552148,-0.384506780213263,-2.3502399189249,-0.510369139039782,-3.49831408388088,-1.09617818256696,0.491561266918419,-1.11088008288498
"9","19",2013,-0.136465117943916,0.911819016807962,-0.52629136257081,-1.44080962940993,-0.65918033892576,-4.13634502952911,-0.717149930872536,0.203159750286836,-1.3977212712593
"10","2",2013,-0.225869010135613,1.01477134716592,0.466200795191822,-1.51265565211855,-0.481602892241756,-2.30405208523067,-0.927122709951891,0.437652198206704,-0.523019404732036
"11","20",2013,-0.136465117943916,0.911819016807962,-0.52629136257081,-1.44080962940993,-0.65918033892576,-4.13634502952911,-0.717149930872536,0.203159750286836,-1.3977212712593
"12","21",2013,0.0122726109286322,0.776820758489703,-0.569917347906763,-1.46056896939752,-0.568331986065298,-4.44172718691215,-0.743637026231173,0.191522423120836,-1.53514319657618
"13","22",2013,-0.256226355403347,0.923460709046662,-0.122750608166152,-1.14171548684062,-0.570346179450825,-3.02388162336807,-0.710342583079392,0.226075729837518,-0.886206126763925
"14","23",2013,-0.2939002004343,1.0939291924967,-0.0573115651543738,-1.64408384045638,-0.464544465320981,-3.14385282301055,-0.975475394699466,0.460347676729894,-0.927650817708669
"15","24",2013,-0.116972884979387,0.765168354562869,-0.417226139199542,-1.44038479395241,-0.548378301761104,-4.10362554052711,-0.815936960841312,0.288030661053406,-1.25593661089233
"16","25",2013,-0.273812096280758,0.938147198647475,-0.384506780213263,-1.13610306039088,-0.551578983475897,-3.37834262420704,-0.661249288108831,0.185916839792295,-1.11633332780159
"17","26",2013,-0.223032190127587,1.07327208442229,-0.210002708853755,-1.5133014256714,-0.436799311542643,-3.51467447846033,-0.775438183654355,0.263517442671311,-1.04325983161739
"18","27",2013,-0.0884353865092551,1.0506933760023,-0.308161305875344,-1.24624785358463,-0.458070517053537,-3.59647307094956,-0.663458462059728,0.197878291912663,-1.07052607732795
