"","2011-2013_ppt","2014-2016_ppt","plot"
"1",331.279997348785,546.702997207642,"1"
"2",490.610002994537,715.837003707886,"2"
"3",274.079998612404,466.001001358032,"3"
"4",197.219997525215,441.446000099182,"4"
"5",190.329998135567,429.116992950439,"5"
"6",289.810000181198,492.973999977112,"6"
"7",377.849994421005,555.812999606133,"7"
"8",297.480004012585,515.441999912262,"8"
"10",299.919999957085,505.956999540329,"10"
"11",399.180004835129,616.072996735573,"11"
"12",255.559998929501,470.235997438431,"12"
"13",420.569995939732,652.855993747711,"13"
"14",221.080003172159,468.356002151966,"14"
"16",416.449994802475,641.547997951508,"16"
"18",420.569995939732,652.855993747711,"18"
"19",243.01999849081,461.819999426603,"19"
"20",243.01999849081,461.819999426603,"20"
"21",235.87999919802,441.888000883162,"21"
"22",348.020000457764,578.53200674057,"22"
"23",398.869998216629,620.477989196777,"23"
"24",221.080003172159,468.356002151966,"24"
"25",311.779999732971,510.62499499321,"25"
"26",303.699998497963,517.488995552063,"26"
"27",292.630001097918,510.140003696084,"27"
"28",240.820001602173,460.649002313614,"28"
