"","plot","date","variable","value","mean","sd","z"
"1",1,2011-01-01,"def",3.37332081794739,89.3015119196475,74.6801509283948,-1.15061619497917
"2",2,2011-01-01,"def",13.1958894729614,89.3015119196475,74.6801509283948,-1.0190876893066
"3",3,2011-01-01,"def",14.6237983703613,89.3015119196475,74.6801509283948,-0.999967362423905
"4",4,2011-01-01,"def",24.1213912963867,89.3015119196475,74.6801509283948,-0.872790424402825
"5",5,2011-01-01,"def",23.9586067199707,89.3015119196475,74.6801509283948,-0.874970181331437
"6",6,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"7",7,2011-01-01,"def",7.30156898498535e-07,89.3015119196475,74.6801509283948,-1.19578643159298
"8",8,2011-01-01,"def",16.5423145294189,89.3015119196475,74.6801509283948,-0.974277588967272
"9",10,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"10",11,2011-01-01,"def",4.17232513427734e-07,89.3015119196475,74.6801509283948,-1.19578643578318
"11",12,2011-01-01,"def",18.3541946411133,89.3015119196475,74.6801509283948,-0.95001571899018
"12",13,2011-01-01,"def",5.21540641784668e-07,89.3015119196475,74.6801509283948,-1.19578643438644
"13",14,2011-01-01,"def",3.57627868652344e-07,89.3015119196475,74.6801509283948,-1.19578643658131
"14",16,2011-01-01,"def",3.37332081794739,89.3015119196475,74.6801509283948,-1.15061619497917
"15",18,2011-01-01,"def",5.21540641784668e-07,89.3015119196475,74.6801509283948,-1.19578643438644
"16",19,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"17",20,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"18",21,2011-01-01,"def",5.36441802978516e-07,89.3015119196475,74.6801509283948,-1.19578643418691
"19",22,2011-01-01,"def",6.21261692047119,89.3015119196475,74.6801509283948,-1.11259677392516
"20",23,2011-01-01,"def",10.5079908370972,89.3015119196475,74.6801509283948,-1.05507983182974
"21",24,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"22",25,2011-01-01,"def",3.37332081794739,89.3015119196475,74.6801509283948,-1.15061619497917
"23",26,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"24",27,2011-01-01,"def",0,89.3015119196475,74.6801509283948,-1.1957864413701
"25",28,2011-01-01,"def",14.5338344573975,89.3015119196475,74.6801509283948,-1.001172018706
"26",1,2011-02-01,"def",12.6824283599854,89.3015119196475,74.6801509283948,-1.02596315898084
"27",2,2011-02-01,"def",15.2041387557983,89.3015119196475,74.6801509283948,-0.99219634993635
"28",3,2011-02-01,"def",17.7495212554932,89.3015119196475,74.6801509283948,-0.958112561030576
"29",4,2011-02-01,"def",24.0112018585205,89.3015119196475,74.6801509283948,-0.874265909340876
"30",5,2011-02-01,"def",24.2262134552002,89.3015119196475,74.6801509283948,-0.871386809687129
"31",6,2011-02-01,"def",9.40203189849854,89.3015119196475,74.6801509283948,-1.06988910745184
"32",7,2011-02-01,"def",0.0282486379146576,89.3015119196475,74.6801509283948,-1.19540817970936
"33",8,2011-02-01,"def",20.8754425048828,89.3015119196475,74.6801509283948,-0.916255103452767
"34",10,2011-02-01,"def",10.6037502288818,89.3015119196475,74.6801509283948,-1.05379757154244
"35",11,2011-02-01,"def",0.359994947910309,89.3015119196475,74.6801509283948,-1.1909659510064
"36",12,2011-02-01,"def",26.4866905212402,89.3015119196475,74.6801509283948,-0.841118029590428
"37",13,2011-02-01,"def",9.23871994018555e-07,89.3015119196475,74.6801509283948,-1.19578642899905
"38",14,2011-02-01,"def",3.1973922252655,89.3015119196475,74.6801509283948,-1.15297195605484
"39",16,2011-02-01,"def",12.6824283599854,89.3015119196475,74.6801509283948,-1.02596315898084
"40",18,2011-02-01,"def",9.23871994018555e-07,89.3015119196475,74.6801509283948,-1.19578642899905
"41",19,2011-02-01,"def",1.68979787826538,89.3015119196475,74.6801509283948,-1.17315930608371
"42",20,2011-02-01,"def",1.68979787826538,89.3015119196475,74.6801509283948,-1.17315930608371
"43",21,2011-02-01,"def",8.64267349243164e-07,89.3015119196475,74.6801509283948,-1.19578642979718
"44",22,2011-02-01,"def",13.7693967819214,89.3015119196475,74.6801509283948,-1.01140817471229
"45",23,2011-02-01,"def",17.181812286377,89.3015119196475,74.6801509283948,-0.965714433309336
"46",24,2011-02-01,"def",11.3869667053223,89.3015119196475,74.6801509283948,-1.04330995914874
