exogenous_var,effect_type,mediator(s),median,ci_025,ci_975,sig
aet,Indirect (single pathway),png,0.2478159819272856,-0.00636655251733924,0.5468734537903187,
aet,Total,png,-0.2598950707226344,-0.6811818597477938,0.21996416789082285,
p2,Indirect (single pathway),png,0.33593285360609015,-0.03574243288226202,0.6909052834303054,
p2,Total,png,-0.2719742516399474,-0.7670020111862729,0.21032727728356268,
