variable,mean_Shrub,groups_Shrub,mean_Grass,groups_Grass,mean_2016,groups_2016,mean_2013,groups_2013
Litter_TN_pct,0.12250590884072869,,0.09405147617727024,,0.14238016813191898,a,0.08270477797047138,b
Litter_TC_pct,2.7885548291518862,,2.5358757669932386,,3.2203862711885125,,2.2308392633093215,
Litter_CN,5.906657436819413,,6.604285786548048,,6.682861526602256,,5.871701978765192,
SOIL_SurSo4_kg_ha,1.3648307876821333,,1.6231179266614266,,1.6586819396221968,,1.3467110628726888,
SOIL_Ca_kg_ha,923.5474828815013,a,396.2843870712465,b,473.41193043291906,b,840.7549243597531,a
SOIL_Mg_kg_ha,77.78690260597698,,58.060334080998594,,37.25371119257755,b,93.64313817571468,a
SOIL_CN,1.3311197523815423,a,0.7320990414833747,b,0.8638314485645933,,1.2017729982806407,
soil_n_kg_ha,96.24888269726691,,85.37226337507974,,59.72875315302233,b,116.32862610202535,a
soil_c_kg_ha,1275.229264078202,a,847.2519613122467,b,939.7795557072316,,1184.0880964515761,
