variable,mean_Shrub,groups_Shrub,mean_Grass,groups_Grass,mean_2016,groups_2016,mean_2013,groups_2013
Soil Total N (kg/ha),96.24888269726692,NA,85.37226337507974,NA,59.72875315302233,b,116.32862610202535,a
Soil Total C (kg/ha),1275.229264078202,a,847.2519613122467,b,939.7795557072316,NA,1184.088096451576,NA
Soil C:N,1.3311197523815423,a,0.7320990414833747,b,0.8638314485645933,NA,1.2017729982806409,NA
Litter N (\%),0.12250590884072868,NA,0.09405147617727024,NA,0.14238016813191898,a,0.08270477797047138,b
Litter C (\%),2.7885548291518862,NA,2.5358757669932386,NA,3.2203862711885125,NA,2.2308392633093215,NA
Litter C:N,5.906657436819413,NA,6.604285786548048,NA,6.682861526602256,NA,5.871701978765192,NA
